,Lat,Lng,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Rural,Marital_Married,Marital_Separated,Marital_NeverMarried,Marital_Divorced,Gender_Female,Gender_Nonbinary,Contract_Oneyear,Contract_TwoYear,InternetService_DSL,InternetService_None,PaymentMethod_BankTransferautomatic,PaymentMethod_MailedCheck,PaymentMethod_ElectronicCheck
15,45.92342,-89.50138000000001,2093,3,39,89061.45,10.79846973,13,1,0,0,0,0,1,0,1,0,0,0,1,1,1,13.87001293,177.65076000000002,1840.0144670000002,3,3,3,2,4,3,5,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
16,37.623259999999995,-120.99637,50079,0,63,31659.3,13.52284721,13,1,0,0,1,0,1,1,0,1,1,0,0,1,1,15.78214958,194.966286,2070.376729,3,4,4,3,5,4,4,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
17,34.90636,-78.98944,7249,2,60,44142.81,9.831166695,16,3,0,0,0,0,1,0,1,0,1,1,1,1,0,2.303331273,202.682861,882.0985933000001,2,2,4,3,3,4,3,3,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
18,35.2091,-89.50332,9463,3,61,39262.14,9.57470568,11,1,0,1,1,0,1,0,0,1,1,1,1,0,1,17.10995632,152.490739,1833.0967,3,4,3,4,3,2,3,5,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0
19,33.84469,-86.6974,3177,3,23,19494.75,10.92246098,10,1,0,0,1,0,1,1,0,0,0,0,1,0,1,12.80615845,149.944668,1954.080809,5,5,5,4,4,4,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
21,39.966359999999995,-83.01286,14440,3,30,45714.47,6.984819996000001,18,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2.415991977,127.49576599999999,594.1054279,5,5,4,4,3,4,3,5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
22,42.961529999999996,-94.64179,381,3,52,27442.03,9.372975594,16,1,1,0,0,0,1,0,0,0,0,1,0,0,1,6.652298992,124.964303,713.0633088,3,3,3,2,2,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,45.10333,-67.47223000000001,2193,2,68,79699.62,7.109002592,9,0,0,0,1,0,1,0,0,0,0,1,1,0,1,8.543717478,149.948316,945.3802927999999,4,4,3,5,3,4,4,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
24,39.08339,-84.02314,9434,3,75,28520.32,13.74777955,15,1,0,0,0,1,1,1,1,0,1,0,0,1,0,5.770390256000001,162.511928,870.7639800000001,3,3,4,2,4,4,3,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
25,29.75675,-81.30311,29568,1,77,12558.83,9.767668044,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
26,36.00209,-108.62285,3089,1,47,8762.23,15.8626095,15,0,1,0,1,0,1,0,1,0,1,0,1,1,0,10.40566091,222.649979,1506.446527,5,3,5,3,3,5,4,4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
27,41.7812,-83.48594,5652,0,70,43882.72,14.73616645,12,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1.3924215969999998,139.98157700000002,419.0508708,2,2,3,4,4,2,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
28,44.24718,-72.74136999999999,1716,3,20,10482.52,13.43558029,13,2,0,1,0,0,1,0,0,0,1,0,1,1,0,1.4303863490000002,200.132293,1259.415493,3,4,3,3,2,4,4,2,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
29,39.04373,-77.04224,52484,4,69,33442.79,10.61771118,18,1,0,0,0,1,1,1,1,1,1,0,1,1,1,5.425864884,257.651257,1745.1259559999999,4,4,4,3,2,5,5,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
31,41.30608,-84.56989,1765,0,40,21793.88,4.4501716469999995,13,2,0,0,0,1,1,1,0,1,0,1,0,0,0,3.5861849539999997,147.489301,492.4771472,2,3,4,3,3,2,4,3,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
32,46.5512,-123.32437,680,6,82,51960.51,8.774646693,9,0,0,0,1,1,1,0,0,1,0,0,1,1,1,4.727388465,230.105118,1013.993166,4,4,4,5,2,5,3,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
33,46.43517,-86.01334,136,5,74,25942.1,11.13156721,8,1,1,0,0,0,1,1,1,1,0,0,1,0,0,20.89923386,174.95811799999998,2680.762173,5,5,4,3,5,3,4,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
34,40.73772,-88.28785,1517,4,69,11211.59,5.540788887000001,15,1,0,0,1,0,1,1,1,0,1,1,1,1,0,3.471329958,267.664655,1081.8143619999998,6,5,5,5,2,6,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,42.28109,-84.75184,14103,1,52,8283.29,13.80362698,11,0,1,0,1,0,1,1,1,1,0,1,0,0,1,5.478588203999999,162.48326699999998,1209.961168,4,2,3,4,3,3,4,3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
36,41.63306,-72.45472,6394,2,26,10114.81,16.31017089,16,1,1,0,1,0,1,1,1,1,1,1,0,1,1,3.3129918089999997,229.993134,897.5919144,4,3,5,5,2,4,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
37,41.103359999999995,-74.68406999999999,5059,1,25,36229.21,9.447065309,9,2,0,0,1,1,1,1,1,0,1,0,0,0,1,7.161561527000001,140.00128,1340.9301560000001,5,6,4,2,5,3,3,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
38,38.93845,-76.99316999999999,20450,1,66,25397.44,16.84100845,12,1,0,0,1,0,1,0,1,1,0,1,0,1,0,9.847563363999999,184.964681,1113.993679,4,4,3,4,2,4,4,5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
39,40.37305,-75.2041,2123,1,72,50336.5,7.972937227,10,1,1,0,1,0,1,0,0,1,1,0,0,0,0,16.04202196,147.47384399999999,1530.10769,3,4,3,6,4,4,6,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
40,40.02145,-74.06183,1164,3,21,38211.37,11.42906608,12,1,0,0,0,0,1,0,0,1,1,0,1,0,1,9.179779682000001,172.45785700000002,1310.137419,5,2,3,3,3,5,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
41,40.26608,-78.45782,23,3,55,52887.26,8.06137096,16,2,0,0,1,0,1,0,1,0,0,1,0,0,1,3.0028441439999995,107.48198899999998,892.8964931,3,3,2,3,5,4,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
42,34.35204,-97.25336,895,4,41,12003.33,12.54780492,11,1,2,0,1,0,1,1,1,0,0,1,1,1,0,3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
43,40.52449,-79.08431999999999,6699,4,32,24090.62,8.255565152,13,0,0,0,1,1,1,1,0,0,0,1,0,1,1,18.55959629,192.45674499999998,2016.7100309999998,3,3,3,3,4,3,3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
44,40.7955,-73.92968,35743,0,22,15137.93,13.156514000000001,6,0,0,0,1,0,1,1,1,0,0,0,1,1,1,8.798394712,242.632554,1412.736809,4,4,4,4,3,4,3,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
45,46.07835,-88.03348000000001,320,2,44,54458.38,10.58349704,5,1,0,0,1,1,1,1,1,1,1,0,1,1,1,10.377366,245.174977,1710.689671,3,3,2,2,4,3,5,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
47,48.68497,-122.19691999999999,861,3,43,37358.13,9.750038902,11,1,0,1,0,0,1,1,1,1,1,1,0,0,1,9.427146079,195.006206,1213.940165,4,5,3,4,3,3,4,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
48,35.104440000000004,-85.17661,15364,1,86,26534.16,7.8686608510000005,11,2,2,0,1,0,1,0,0,0,0,0,1,0,0,7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
49,47.77527,-99.85,2589,2,84,76430.83,12.43563329,14,0,1,0,0,1,1,0,0,0,0,1,0,0,1,11.56938439,92.488023,897.9716152999999,3,3,4,3,5,3,3,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
50,33.08977,-86.06138,4901,2,62,4662.37,8.957166926000001,13,3,0,0,1,0,1,1,0,0,1,1,0,1,0,3.343811019,184.97968400000002,1026.387172,2,2,3,4,3,5,2,4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
51,35.73451,-80.20925,39649,5,68,43820.85,8.015021713,12,1,0,0,1,0,1,0,0,0,1,0,1,1,1,7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
52,32.6644,-91.19645,456,1,59,38391.55,4.210347704,8,0,0,0,0,0,1,0,0,0,1,0,1,0,1,5.486534225,149.96209299999998,727.3731845,4,4,4,3,4,2,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
53,42.47954,-94.75105,94,0,31,44137.6,11.13960534,6,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1.55278221,169.944668,452.87215039999995,4,4,3,4,4,4,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
54,40.95947,-99.37702,315,0,51,14364.65,9.03738856,11,2,0,0,1,0,1,1,1,0,1,0,0,0,1,12.07970325,160.00128,1296.6745429999999,4,2,4,5,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,37.44262,-81.57762,4969,1,58,62359.91,10.91594785,11,1,1,0,0,0,1,0,0,0,1,0,1,0,0,13.98666226,129.96209299999998,1840.628269,3,4,3,6,3,4,5,3,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
56,29.38147,-95.24205,46869,1,73,82634.86,8.387624096,11,0,1,0,0,0,1,0,0,1,0,0,0,0,1,9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
58,42.68864,-87.82515,26182,1,58,14568.7,10.22013704,15,2,0,0,1,0,1,1,0,0,0,1,1,1,1,15.72071086,220.14775,1868.8640269999999,3,5,3,2,4,5,5,4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
59,32.12693,-83.06218,694,0,49,29207.46,8.425458142,9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,7.233605493,124.97808,676.712908,5,5,3,4,4,5,5,4,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
60,35.3619,-95.26371,3093,1,26,55319.23,8.386280618999999,12,1,0,0,0,1,1,0,1,1,0,1,0,1,1,2.8710170369999997,164.964681,1086.990308,5,5,4,4,3,4,4,4,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0
61,40.37342,-89.52646,2765,1,25,81831.49,9.565924291,10,3,0,0,1,0,1,1,0,0,1,1,1,0,0,2.3448753819999997,194.976769,704.7540406,3,4,3,2,3,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,41.37478,-76.03486,3757,0,42,100076.65,10.79349982,14,3,0,0,1,0,1,0,1,1,0,0,0,1,1,7.960490246,152.45551899999998,1416.444695,5,5,5,4,3,2,4,4,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
63,34.088,-109.3232,4938,1,81,69965.65,6.081975067,15,0,0,0,0,1,1,0,0,0,1,0,0,0,0,12.25062113,92.5018,1095.950634,5,5,5,3,4,3,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
64,36.20782,-77.08433000000001,3761,1,43,34883.69,13.55065547,13,0,0,1,0,1,1,0,0,0,1,0,0,1,1,9.634946079,127.48872800000001,1083.610268,4,4,4,3,4,4,3,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
65,38.29793,-120.62131000000001,1851,2,63,45634.2,9.470419821,14,1,0,0,1,0,1,1,0,1,1,0,1,0,0,7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
66,42.1295,-87.92197,38476,3,70,10964.73,6.194985909,11,0,1,0,1,0,1,1,0,0,1,1,1,1,1,4.471254161,265.146969,1007.4255529999999,3,3,2,4,4,3,3,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
68,33.452040000000004,-101.64305,7801,0,48,52636.6,7.903964267,17,0,1,0,1,1,1,1,1,0,0,0,1,0,0,12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
69,44.48072,-105.68542,17823,1,63,19048.13,11.27443693,18,2,1,1,1,0,1,0,0,0,1,0,1,1,1,2.2038594430000003,200.132293,1120.2414720000002,4,4,4,5,4,4,4,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
71,41.31414,-81.74521999999999,30225,0,87,77996.88,7.969277912000001,17,0,0,1,1,0,1,1,0,1,0,1,1,1,1,3.7311787000000005,255.11979399999998,1268.0869089999999,3,3,4,5,4,3,5,4,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
72,40.25609,-81.02123,5760,3,54,47507.3,4.368120492,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7.980015371,134.950905,822.6771666,2,3,3,3,5,2,2,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
73,48.43505,-104.4389,61,3,35,7724.73,6.258356397999999,9,0,1,0,1,0,1,0,0,1,1,1,1,1,1,9.190009376,255.137219,1577.915603,4,3,2,3,3,3,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,32.89431,-117.08013000000001,34359,1,70,1509.52,12.92303286,16,0,0,0,0,0,1,1,0,1,1,0,0,1,0,2.378630018,214.966286,648.7471776000001,4,4,4,5,2,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
75,33.9381,-118.3323,24693,2,67,81124.71,12.43301273,13,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5.43464555,270.160419,1648.102673,3,3,4,3,5,3,3,4,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1
76,38.6184,-77.62493,4235,4,46,11795.57,7.607663559,11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.092361222,200.165175,768.0874545,1,1,2,2,3,1,3,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
77,36.94686,-86.60235,2193,1,50,74794.84,7.442789019,10,2,1,0,0,0,1,0,0,1,0,0,0,1,0,20.13981517,149.937833,2426.030626,2,2,3,4,3,3,4,4,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
78,39.82437,-90.36129,273,1,24,19038.78,13.04429298,18,1,0,0,0,1,1,1,0,0,0,0,1,1,1,24.64873861,240.11486800000003,2660.503932,4,4,5,1,4,4,3,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
79,45.98881,-94.37486,14557,0,20,79167.77,14.89762162,17,0,0,0,0,1,1,0,1,0,1,0,0,0,1,9.677739656,127.49576599999999,1129.549713,3,4,3,4,5,4,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
80,28.57725,-81.39726,17653,1,29,37428.26,13.79387475,13,2,1,0,1,0,1,0,0,0,0,0,1,1,0,9.82814183,187.609354,1771.286466,3,4,3,2,5,3,3,4,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
81,39.9883,-79.99619,285,0,31,45148.38,15.66367593,6,1,0,1,1,0,1,1,0,0,1,1,0,0,0,7.832238337000001,169.992756,943.3391244,3,3,3,4,4,3,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
82,46.07835,-88.03348000000001,320,5,72,74855.47,8.513410306,13,3,0,0,1,0,1,1,0,0,0,1,0,1,0,19.45250317,192.45674499999998,1907.2260829999998,4,4,4,3,1,5,4,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
83,37.40057,-85.72074,2863,4,71,45323.86,8.265002035,10,1,0,0,0,1,1,0,1,0,1,1,0,0,1,14.34766616,120.004928,1885.939118,4,4,3,3,4,3,2,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
84,38.651579999999996,-97.41275,1206,2,32,71596.14,8.6026551,11,0,0,0,1,0,1,1,1,1,1,1,0,0,0,2.257358355,195.006206,631.7435653,5,3,5,5,3,3,5,2,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
85,38.75669,-77.0929,35279,0,33,10389.95,6.03993035,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
86,40.1613,-77.86247,1049,3,67,19657.14,14.6040829,12,3,0,1,0,0,1,0,0,1,0,1,0,0,1,4.650578623,114.983787,593.8572264,3,3,2,2,5,4,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
87,41.77576,-87.66911999999999,32203,0,66,27827.03,7.274007029,13,1,1,0,1,0,1,1,0,0,0,0,1,1,0,3.7217726160000004,207.638588,777.3060717999999,4,3,3,6,1,4,3,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
89,40.546209999999995,-120.23998999999999,319,0,61,19815.63,11.59313893,13,0,2,0,1,1,1,0,0,1,0,0,0,0,1,4.151256695,134.950905,393.6524652,3,2,3,4,3,4,5,4,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
91,41.83778,-71.31735,15210,0,63,41656.53,15.19664016,9,1,0,0,1,1,0,0,0,1,1,0,1,1,1,13.85488928,222.62805699999998,2138.107161,3,2,3,2,4,3,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
92,41.83849,-84.76276999999999,3499,0,68,115510.46,5.0839959939999995,3,1,0,0,1,0,1,0,1,0,0,1,0,1,1,3.2733411510000003,162.468917,443.98403099999996,2,2,2,4,3,3,4,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
93,32.48494,-93.73255,14479,2,32,15841.19,6.942719201,7,1,1,0,1,0,1,1,0,1,1,0,0,0,0,19.75096265,159.97935800000002,2481.385603,2,2,3,3,3,3,3,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
94,28.32589,-82.32911,4654,0,76,81127.41,9.834012571,7,1,0,0,0,1,1,1,0,0,1,1,0,1,1,18.38404445,184.97968400000002,2233.567181,3,2,3,4,2,4,5,3,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
95,32.78137,-96.87917,26320,0,29,24270.88,11.0596826,13,0,0,0,0,0,1,0,1,1,1,0,1,1,1,4.672610857,245.145743,1158.91369,5,5,4,5,1,5,5,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
96,40.572340000000004,-87.80962,35,0,83,54466.33,8.834079073,17,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.796299371,124.97808,529.40733,4,4,4,3,2,4,3,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
98,35.07431,-78.88358000000001,17600,5,80,103311.26,9.394961367,15,1,0,0,0,0,1,0,1,1,1,1,0,0,1,20.31163945,162.500692,2056.386979,5,4,4,3,4,4,5,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
99,48.364329999999995,-102.42437,3324,0,20,40211.04,14.475436499999999,11,1,1,0,0,0,1,1,0,0,1,0,1,0,1,6.998814446,182.46760700000002,1067.373076,3,4,3,5,2,6,6,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
101,37.58745,-87.30164,4038,1,32,43466.35,13.79409442,10,1,0,0,0,0,1,1,0,0,1,0,1,0,1,11.13472066,182.46760700000002,1397.701335,3,4,4,4,3,4,2,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
102,40.67637,-73.84441,31927,0,53,23289.77,12.40165307,19,1,0,0,0,1,1,1,0,0,1,0,1,1,1,2.542296644,220.161527,808.4305471,2,4,3,2,3,3,5,3,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
103,39.00049,-80.20387,19904,2,25,49158.49,10.24782033,9,1,0,0,0,0,1,0,0,1,0,0,0,1,1,17.22596021,169.937833,1886.5319370000002,4,4,3,4,3,3,3,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
104,38.76701,-94.25448,13000,0,69,3805.84,14.86100819,16,0,2,0,1,0,0,1,0,1,1,0,1,0,1,22.79214163,204.963371,2294.7811309999997,3,3,3,3,2,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105,41.073170000000005,-96.83986,1444,3,71,52616.27,6.716953195,10,2,1,0,0,0,1,1,0,1,1,0,1,0,0,3.8236897439999997,204.963371,826.3438621,3,5,3,2,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,41.263020000000004,-73.94368,2158,3,53,30550.42,8.124258176,18,1,0,0,0,0,1,1,1,1,0,0,1,1,0,10.77094687,245.128318,2072.564168,3,3,2,4,3,2,4,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
107,38.61776,-86.61282,1800,2,56,12154.01,14.60903837,11,0,2,0,0,1,1,1,0,1,0,1,1,0,1,13.08671185,172.473314,1436.793746,4,4,3,3,5,3,2,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
108,32.29188,-100.21075,30,0,42,30649.31,12.65015936,9,2,2,0,1,0,0,1,0,0,0,1,0,1,0,14.76468813,172.45674499999998,1963.3326829999999,4,3,4,3,5,4,2,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
109,34.79657,-85.67879,3682,3,33,31417.33,12.0281501,14,0,0,0,0,0,1,1,0,0,1,1,1,0,1,9.473091121,194.976769,1324.164906,2,2,2,2,4,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110,38.85433,-77.47715,41733,1,47,55861.19,15.68043093,16,1,0,0,0,0,1,0,0,0,0,0,1,0,1,5.197446331,137.439154,704.9375603,4,4,4,4,3,3,4,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
111,47.742020000000004,-92.78159000000001,630,1,48,9044.26,11.30421466,18,3,1,0,1,1,1,1,0,0,1,0,0,1,1,6.5775526829999995,192.470522,888.6517305,3,4,4,4,2,3,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
112,45.52596,-91.71346,15383,0,63,25381.66,10.26646787,10,1,0,0,1,0,1,0,0,0,0,1,0,1,0,3.1745719180000003,159.951231,377.0810282,4,3,4,2,3,3,3,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
113,42.351459999999996,-73.02322,257,1,40,65064.31,7.56618217,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17.88002366,112.455141,1606.489936,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,42.43085,-77.84964000000001,1012,0,67,12527.51,10.40677369,14,2,0,1,0,0,1,0,1,1,0,1,1,0,1,13.12190056,174.96176599999998,1431.409396,5,4,4,3,3,5,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
115,36.957390000000004,-79.86453,20327,0,56,35499.06,7.146124361,13,3,0,1,0,0,1,0,1,1,0,0,1,0,0,23.34617699,162.452604,2253.85247,6,5,4,4,4,3,5,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
116,38.01464,-83.76565,69,6,24,26282.4,9.807530479,10,1,0,1,1,1,1,1,0,0,1,0,0,0,1,6.311709177999999,137.48359399999998,1353.29384,5,5,4,3,3,3,3,3,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
117,40.80268,-96.95214,1130,2,79,51237.28,10.61217014,12,3,0,0,0,1,1,1,0,1,1,0,1,1,1,12.58298231,275.133571,1701.457566,4,5,4,4,1,4,4,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
